Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,231417,Multifamily Housing,233700,1972,1,100,Whole Building,Not Available,62,56.2,57.7,6.3,Not Available,110.8,Not Available,Not Available,5286563.3,1464381.9,1011.1,0,1011.1,233700,683.7,2.93,111.4,No
Manhattan,99911,Multifamily Housing,119893,1906,1,100,Whole Building,Whole Building,39,66.4,70.4,4.5,0.5,106.3,6034800.2,65781.3,1927742.5,545383.4,499.4,320.5,178.9,119893,5228.8,43.61,103.3,No
Manhattan,56354,Multifamily Housing,50124,1930,1,100,Whole Building,Whole Building,63,46.9,49.6,8.1,0.2,109.7,1066897,11047.1,1283621.3,404824.8,175.8,56.7,119.1,50124,1231.4,24.57,102.8,No
Manhattan,170100,Multifamily Housing,205821,1983,1,100,Whole Building,Whole Building,89,58.8,60.9,4.5,0.5,95.8,8871186.9,94086.8,3223033.5,918990.7,770.3,471.2,299.1,205821,15614.1,75.86,94.4,No
Manhattan,68396,Multifamily Housing,33533,2010,1,100,Whole Building,Whole Building,42,72.3,73.3,11.6,0.3,159.6,1649251.6,17703.8,2143195.5,608133.3,286.5,87.6,198.9,52461,Not Available,Not Available,161.3,No
Manhattan,50563,Multifamily Housing,53723,2005,1,100,Whole Building,Whole Building,25,70.3,73,9.2,0.4,142.4,2025235.1,22335.1,1751466.4,495151.3,270.1,107.6,162.5,53723,Not Available,Not Available,142,Yes
Manhattan,65526,Multifamily Housing,58974,2005,1,100,Whole Building,Whole Building,Not Available,56.6,60.7,5.9,0.4,106,2206038.7,24848.9,1259036.6,362602.8,234,117.2,116.8,61273,4602,75.11,102.3,Yes
Manhattan,107740,Multifamily Housing,107740,2010,1,100,Whole Building,Not Available,97,42.3,44.8,3.9,0.3,74.9,3078197.3,33822.3,1479104.9,421821.9,300.8,163.5,137.3,107740,3477.1,32.27,73.1,Yes
Manhattan,92470,Non-Refrigerated Warehouse,104680,1928,1,100,Whole Building,Whole Building,Not Available,34.4,39,2.7,0.3,60.1,2643922.1,31279.9,956068,280207.5,229.2,140.4,88.7,104680,55.2,0.53,55.2,Yes
Manhattan,453600,Multifamily Housing,467208,1966,1,100,Whole Building,Not Available,48,72.3,76.9,4.6,Not Available,123,Not Available,Not Available,7580788.4,2154892.8,2441.7,0,2441.7,467208,Not Available,Not Available,118.4,Yes
Manhattan,553660,Multifamily Housing,595960,1950,6,100,Whole Building,Not Available,81,52.8,54.7,4.8,Not Available,97.4,Not Available,Not Available,10372673.2,2906371.3,2409.4,0,2409.4,609026,Not Available,Not Available,96.5,Yes
Manhattan,51716,Multifamily Housing,51802,2005,1,100,Whole Building,Not Available,56,71.5,75.8,6.7,0.5,127.3,2458942.2,27436.8,1245294.5,346637.4,246.2,130.6,115.6,51802,2074.4,40.05,125.3,Yes
Manhattan,73359,Multifamily Housing,74359,2001,1,100,Whole Building,Not Available,2,116.8,122.5,13.5,0.8,225,5188194.1,56776.9,3498710.5,1005506,600.2,275.6,324.7,74359,4350.3,58.5,221,Yes
Manhattan,89531,Multifamily Housing,94008,1928,1,100,Whole Building,Whole Building,81,70.3,75.7,4.4,0.6,110.5,5158537.4,57169.2,1446183.9,409285.9,408.2,274,134.2,94008,2277.8,24.23,105.9,Yes
Manhattan,127950,Multifamily Housing,426336,1980,1,100,Whole Building,Not Available,100,20,21.2,1.7,0.2,34.5,6034442.6,65566.5,2494448.9,731081.1,552,320.5,231.5,426336,Not Available,Not Available,33.2,
Manhattan,100860,Multifamily Housing,102000,1973,1,100,Whole Building,Not Available,19,118.3,126,7.3,0.1,180.7,556451.6,5661.1,2606679.8,746153.1,932.4,690.5,241.9,102000,9679,94.89,174.2,No
Manhattan,149253,Multifamily Housing,151753,1979,1,100,Whole Building,Not Available,97,22.6,22,6.5,Not Available,69.1,Not Available,Not Available,3435891.9,979145.7,318.8,0,318.8,151753,Not Available,Not Available,71.1,Yes
Manhattan,423836,Multifamily Housing,335728,1982,2,100,Whole Building,Not Available,84,65.4,Not Available,Not Available,0,Not Available,1263396.9,13011.5,4896128.4,Not Available,1569.3,67.1,1502.2,335728,Not Available,Not Available,106.3,Yes
Manhattan,55947,Multifamily Housing,55947,1940,1,100,Whole Building,Whole Building,72,71.2,75.1,4,0,105.1,133811.8,1352.8,794880,224155.5,307.6,233.8,73.8,55947,2049.8,36.64,102.3,Yes
Manhattan,79956,Multifamily Housing,52265,1938,1,100,Whole Building,Not Available,96,28,27.2,7.7,0,83.8,40924,458.6,1579643.4,448090.5,148.8,2.2,146.6,57855,2718.5,46.99,86.5,No
Manhattan,71334,Multifamily Housing,83223,1970,1,100,Whole Building,Not Available,74,58.6,61,7.1,0.4,114.3,2870699.8,30702.4,2002936.1,587026.9,338.3,152.5,185.9,83223,2989.8,35.93,111.8,No
Manhattan,59000,Hotel,70000,1985,1,100,Whole Building,Whole Building,21,160.6,165.3,20.5,1,320,6225405.5,66710.9,5019017.4,1436903.8,796.4,330.7,465.8,70000,6047.3,86.39,318.5,No
Manhattan,114394,Residence Hall/Dormitory,104570,2008,1,100,Whole Building,Not Available,38,97.6,101.2,12.7,0.6,196.7,5520657.5,60607.8,4689100.5,1326250.5,728.4,293.2,435.1,104570,Not Available,Not Available,196.2,Yes
Manhattan,82411,Hotel,83000,2007,1,100,Whole Building,Not Available,8,218.1,219.7,26,1.3,416.4,10691100.1,108646.1,7413320.5,2160919.3,1255.8,567.9,688,83000,7605.4,91.63,415.7,Yes
Manhattan,209499,Multifamily Housing,210043,2007,1,100,Whole Building,Whole Building,10,90,94.4,12.3,0.5,187.1,9808190.5,109783.9,9091181,2591434.1,1364.6,521,843.7,210043,10386.7,49.45,184.9,Yes
Manhattan,111051,Hotel,109858,2007,1,100,Whole Building,Whole Building,6,111.7,115.2,14.4,0.7,223.3,6747105.7,72708.5,5525914.6,1576761.1,871.2,358.4,512.8,109858,10335.4,94.08,222.4,Yes
Manhattan,58364,Office,61282,2005,1,100,Whole Building,Not Available,35,143.7,152.1,14.9,1,265.9,5627500.1,62059.8,3178940.1,912763,593.9,298.9,295,61282,2226.2,36.33,259.3,Yes
Manhattan,65869,Multifamily Housing,42772,2000,1,100,Whole Building,Whole Building,2,235.8,235.8,30.8,1.3,467.2,7682169.7,76821.7,6174060.9,1809513.5,981,408,573,58759,6463.2,109.99,467.2,No
Manhattan,56344,Other - Entertainment/Public Assembly,60000,2007,1,100,Whole Building,Not Available,Not Available,221.6,222.3,38,0.9,504.7,5446421.8,55505.1,7849801.1,2282351.7,1017.7,289.3,728.5,60000,787.4,13.12,506.1,Yes
Manhattan,81900,Retail Store,85995,1920,1,100,Whole Building,Whole Building,91,59.8,66,5.6,0,107.7,0,0,1686780.8,485557.1,416.7,260.2,156.5,85995,1239.5,14.41,102.2,Yes
Manhattan,167453,Multifamily Housing,202618,1900,1,100,Whole Building,Whole Building,90,63.5,66.3,3.8,0.5,96.4,10188075.9,108413.6,2675785.1,761391.8,789.4,541.1,248.3,202618,Not Available,Not Available,94.3,No
Manhattan,514093,Multifamily Housing,460311,2003,1,100,Whole Building,Whole Building,12,94.3,97.4,14.1,0.5,202.4,23886827,258652.6,25880760.1,7483612.8,3706.3,1304.6,2401.7,532640,Not Available,Not Available,200.6,Yes
Manhattan,147730,Multifamily Housing,162503,1964,1,100,Whole Building,Not Available,46,95.4,100.1,5.2,0.8,141.8,12560207.1,134073.1,2941709.4,837140.2,940.1,667.1,273,162503,Not Available,Not Available,138,No
Manhattan,101908,Multifamily Housing,107538,1936,8,100,Whole Building,Not Available,Not Available,Not Available,Not Available,Not Available,0.9,Not Available,9158154.5,100742.8,Not Available,Not Available,Not Available,486.4,Not Available,107538,Not Available,Not Available,Not Available,Yes
Manhattan,194800,Multifamily Housing,214280,1964,1,100,Whole Building,Not Available,46,95.4,100.1,5.2,0.8,141.8,16562163.4,176791.7,3879002.6,1103871.4,1239.7,879.7,360,214280,Not Available,Not Available,138,Yes
Manhattan,121406,Multifamily Housing,122406,1929,1,100,Whole Building,Not Available,78,64.1,66.7,5.4,0.5,108.6,5528100,59060.9,2313830.7,662038.6,508.3,293.6,214.7,122406,4283.8,35,106.8,Yes
Manhattan,120605,Multifamily Housing,115950,1929,1,100,Whole Building,Whole Building,67,74.5,80.8,4.1,Not Available,111.4,Not Available,Not Available,1694334.5,474361.7,679.9,522.7,157.2,115950,5804.6,50.06,106.4,No
Manhattan,780062,Multifamily Housing,858068,1962,5,100,Whole Building,Whole Building,47,95.3,100,5.1,0.8,141.4,66321938.5,707949.1,15424180.9,4389353.1,4954,3522.7,1431.4,858068,75342.3,87.8,137.6,Yes
Manhattan,94773,Multifamily Housing,94773,2007,1,100,Whole Building,Whole Building,29,77.8,81.6,9.8,0.5,155.6,4146900,45590.7,3227861.2,929364.2,519.8,220.3,299.5,94773,3479.2,36.71,152.9,No
Manhattan,52497,Self-Storage Facility,61111,1923,1,100,Whole Building,Whole Building,Not Available,24.9,27.7,3.5,0.2,54,804524.2,9645.9,719481.2,213216.3,109.5,42.7,66.8,61111,123.4,2.02,50.8,Yes
Manhattan,75782,Multifamily Housing,67763,1929,1,100,Whole Building,Whole Building,65,69.9,Not Available,7.2,0,Not Available,184418.8,1844.2,1924180.1,546886,424.9,246.4,178.6,75781,2884.2,38.06,124.8,Yes
Manhattan,88208,Multifamily Housing,75000,2002,1,100,Whole Building,Whole Building,35,66.4,69.5,6.4,0.5,118.4,3260798.9,35778.7,1720483,478266.4,332.9,173.2,159.7,75000,2688.4,35.85,117.7,No
Manhattan,121503,Multifamily Housing,106432,1929,1,100,Whole Building,Not Available,46,75.3,77.8,8,0,136.6,408381.8,4083.8,3292473.5,937992.6,716.9,411.3,305.5,122239,7643.6,64.85,135.7,No
Manhattan,97896,Multifamily Housing,106086,1928,1,100,Whole Building,Whole Building,Not Available,70.1,74.9,4.6,Not Available,109.4,Not Available,Not Available,1762378.2,500566.5,599.4,435.9,163.5,107686,3802.3,35.31,105.7,Yes
,,Office,234327,1905,1,100,Whole Building,Whole Building,1,353.9,346.8,59.5,Not Available,810.7,Not Available,Not Available,47942525.5,13950324.2,6771.8,0,6771.8,234327,25360,108.22,822,Yes
Manhattan,69969,Multifamily Housing,53929,2012,1,100,Whole Building,Whole Building,Not Available,70.6,72,10.2,0.4,148.4,2269388,23809.3,2242509.7,652062.4,328.6,120.5,208.1,63929,Not Available,Not Available,147.4,Yes
Manhattan,156365,Residence Hall/Dormitory,83734,2001,1,100,Whole Building,Whole Building,57,89.6,94.2,10,0.6,170,4588514.8,50444.1,2917952.9,833992.2,514.5,243.7,270.8,83734,4810,57.44,167,Yes
Manhattan,90411,Hotel,90411,2007,1,100,Whole Building,Whole Building,7,316.3,Not Available,Not Available,Not Available,Not Available,20096604.3,Not Available,8497740.9,Not Available,1856,1067.4,788.6,90411,13114.1,145.05,528.5,Yes
Manhattan,122689,Multifamily Housing,122689,1981,1,100,Whole Building,Whole Building,88,66.7,69.8,4,0.6,101.7,6457300.2,69046.6,1723991.5,487878.6,503,343,160,122689,7453.4,60.75,99.4,No
Manhattan,146583,Residence Hall/Dormitory,147032,1986,1,100,Whole Building,Not Available,Not Available,66.6,71.3,5.4,Not Available,121.3,Not Available,Not Available,2740904.9,803313.2,731.8,0,731.8,149152,Not Available,Not Available,115.7,Yes
Manhattan,67227,Multifamily Housing,72829,1986,1,100,Whole Building,Not Available,100,36.3,40,Not Available,Not Available,40.4,Not Available,Not Available,Not Available,Not Available,196.3,196.3,0,72829,Not Available,Not Available,36.7,No
Manhattan,337600,Residence Hall/Dormitory,330856,1988,1,100,Whole Building,Whole Building,Not Available,106,110.4,14.5,0,227.9,1062100,10621,16668186.3,4820843.8,2771.1,56.4,2714.7,333256,Not Available,Not Available,223.9,No
Manhattan,56845,Multifamily Housing,58000,1928,1,100,Whole Building,Not Available,86,81.4,86.3,4.8,Not Available,122.1,Not Available,Not Available,995967.2,278328.1,372.7,280.3,92.4,58000,Not Available,Not Available,118.8,No
Manhattan,65602,Multifamily Housing,69862,1929,1,100,Whole Building,Whole Building,Not Available,62.9,66.4,4.8,0,101.6,0,0,1195908.3,343151.6,359.1,248.1,111,72162,3331.8,46.17,98.8,No
Manhattan,59225,Other - Entertainment/Public Assembly,67347,1920,2,100,Whole Building,Whole Building,Not Available,77.5,81.5,12.8,0.4,176.7,2324712.3,26915.9,3181283.6,908138.5,418.7,123.5,295.2,71070,896.2,12.61,174.9,Yes
Manhattan,92304,Multifamily Housing,155540,1959,1,100,Whole Building,Whole Building,Not Available,50.2,53.1,3.9,0.4,83.4,5801219.5,63216.3,2163062.5,615508,508.9,308.1,200.7,158740,Not Available,Not Available,81.2,Yes
Manhattan,63158,Multifamily Housing,47362,1925,1,100,Whole Building,Whole Building,28,99.5,103.7,12,0.6,194.2,3706429.3,40421.5,2685573.6,767664.2,446.1,196.9,249.2,64218,7445.4,115.94,191.9,Yes
Manhattan,125097,Multifamily Housing,117591,1964,1,100,Whole Building,Whole Building,29,110.9,115.7,11.7,0.3,211.6,4307200.7,44868.6,5435936.7,1547735,1057.2,228.8,828.4,131799,Not Available,Not Available,208.4,Yes
Manhattan,65155,Multifamily Housing,64031,2010,1,100,Whole Building,Whole Building,28,65.2,68.5,11.4,0.3,153.4,1745561.3,19546.7,2576267.4,757106.3,331.8,92.7,239.1,66271,1814,27.37,149.7,Yes
Manhattan,112516,Multifamily Housing,91682,2016,1,90,Whole Building,Whole Building,83,39.5,40.1,7.4,0.1,94.7,1273400,13691.4,2344589.9,676452.5,285.2,67.6,217.6,91682,2587.6,28.22,94.9,No
Manhattan,120900,Restaurant,100000,1886,1,100,Whole Building,Whole Building,Not Available,151.3,151.3,25.1,0.5,337.4,7084341,70843.4,12001446.1,3517422.2,1645.7,531.9,1113.7,140000,Not Available,Not Available,337.4,Yes
Manhattan,55015,Retail Store,46752,1874,1,100,Whole Building,Whole Building,Not Available,130.1,131.5,33.7,0,377.9,20673.5,206.7,6400318.4,1855314.1,649.7,55.7,593.9,55015,6276.3,114.08,379.2,Yes
Manhattan,71413,Multifamily Housing,69928,1900,1,100,Whole Building,Not Available,Not Available,92,100.1,7.7,0,157.2,35435.3,354.4,1842861.4,540111.7,511.1,340.1,171,69928,Not Available,Not Available,149.1,Yes
Manhattan,70632,Multifamily Housing,50064,1904,1,100,Whole Building,Whole Building,8,98.7,105.8,7.9,0.1,164.4,676888.2,6846.8,1873958,540591.4,528.8,354.9,173.9,68764,1340.9,19.5,158.1,No
Manhattan,78982,Multifamily Housing,56807,1890,1,100,Whole Building,Not Available,Not Available,92.4,96.9,10.9,0.6,179.3,3069441.5,33996.9,2181977.3,617372.2,365.5,163,202.5,56807,2534.7,44.62,177.3,Yes
Manhattan,70759,Multifamily Housing,70759,1900,1,100,Whole Building,Not Available,31,79.7,86.5,6.8,0,137.1,23323.3,233.2,1858760.1,544771.3,505.6,333.2,172.5,79759,2487,31.18,130.1,Yes
Manhattan,51790,Office,41790,1900,1,100,Whole Building,Whole Building,78,68.2,75.5,9.5,Not Available,145.3,Not Available,Not Available,2055225,590630.9,352.9,162.2,190.7,62148,Not Available,Not Available,139.4,No
Manhattan,63150,Retail Store,42100,1986,1,100,Whole Building,Whole Building,Not Available,30.3,30.3,6.1,0,75.1,39453.3,394.5,1318269.3,386362.6,166.2,43.9,122.3,63150,431.9,6.84,75.1,No
Manhattan,153500,Multifamily Housing,164464,2005,1,100,Whole Building,Whole Building,4,75.8,79.1,13.6,0.3,179.7,5015171.5,55684.9,7845629.4,2299422.2,994.5,266.4,728.1,169614,Not Available,Not Available,176.3,Yes
Manhattan,303214,Office,362151,1930,1,100,Whole Building,Whole Building,84,65,66.8,13.7,0.2,167.8,6500892.4,75506.1,17920274.5,5140373,2008.3,345.3,1663,375494,2570.3,6.85,168,Yes
Manhattan,125235,Multifamily Housing,125610,1950,1,100,Whole Building,Whole Building,64,76.9,76.7,5.9,0.1,120.6,1766075,18007.4,2791202,800347.7,794.1,535.1,259,136610,4943.1,36.18,121.7,Yes
Manhattan,402110,Office,444427,2009,1,100,Whole Building,Whole Building,61,102.4,105.1,20.8,Not Available,263.7,Not Available,Not Available,31802022.2,9225327.8,3861.9,0,3861.9,444427,0,0,261.8,Yes
Manhattan,80862,Office,73365,1925,1,100,Whole Building,Whole Building,1,34326.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4325384.3,Not Available,192403.1,0,192403.1,84365,Not Available,Not Available,41395.9,No
Manhattan,80649,Multifamily Housing,64382,1929,1,100,Whole Building,Whole Building,Not Available,71.4,76,8.6,0.5,141.5,3054856.2,33893.2,2149094.7,629863.6,361.7,162.3,199.4,72834,3210.6,44.08,136.7,No
Manhattan,173838,Multifamily Housing,162738,1913,1,100,Whole Building,Whole Building,Not Available,68.9,72.7,7.4,0.5,128.9,7590262.8,84292.9,4644445.6,1309277.8,834.2,403.2,431,177488,7193.3,40.53,127.1,Yes
Manhattan,80052,Multifamily Housing,86219,1926,1,100,Whole Building,Whole Building,5,75.4,77.8,14.8,0.3,187.3,2335905.7,25578.1,4756844.3,1394151.2,565.5,124.1,441.4,94078,2797.8,29.74,184.8,No
Manhattan,109377,Office,120000,1907,1,100,Whole Building,Whole Building,Not Available,60.8,Not Available,13,0,Not Available,958.3,10.5,5884982.3,1685677.9,698.4,152.3,546.1,130000,1660.4,12.77,157.9,Yes
Manhattan,74539,Office,78066,1900,1,100,Whole Building,Not Available,36,123.7,126,18.9,0.6,267,4628200.2,48007.2,5032406.3,1474913.7,712.8,245.8,467,78066,6857.4,87.84,264.7,Yes
Manhattan,107896,Office,83753,1900,1,100,Whole Building,Whole Building,87,62.1,64.3,15,0.1,174.4,1341342.9,16116.4,6236488.3,1827810,650,71.2,578.7,121964,1853.8,15.2,172.1,No
Manhattan,121992,Retail Store,120656,2004,1,100,Whole Building,Whole Building,67,73.8,74.3,20.8,0,226.2,356651.3,4161.1,8648656.9,2534776,821.5,18.9,802.6,121976,2457.5,20.15,225.7,Yes
Manhattan,76550,Multifamily Housing,52600,1900,1,100,Whole Building,Whole Building,39,70.6,74.4,9.2,0.4,143.6,3122712.4,35185,2660942.6,752819.3,412.8,165.9,246.9,81865,1929.3,23.57,142.1,Yes
Manhattan,140988,Office,145255,1902,1,100,Whole Building,Whole Building,65,114.3,Not Available,18,Not Available,Not Available,6900229.8,Not Available,11170729.6,3273953.2,1605.5,568.9,1036.6,181583,Not Available,Not Available,248,No
Manhattan,50285,Multifamily Housing,50788,2014,1,100,Whole Building,Not Available,Not Available,36.9,40.6,11.9,Not Available,127.3,Not Available,Not Available,1873500.4,603648.9,173.9,0,173.9,50788,Not Available,Not Available,115.8,Yes
Manhattan,55460,Multifamily Housing,39623,2000,1,100,Whole Building,Not Available,Not Available,82,84,19.3,0.2,226.1,934715.6,10501.5,3842842.7,1126272.6,406.3,49.6,356.6,58233,Not Available,Not Available,224.1,Yes
Manhattan,125590,Multifamily Housing,127000,1880,1,100,Whole Building,Not Available,Not Available,88.4,94.2,13.3,Not Available,191.9,Not Available,Not Available,5770686,1691291.1,940.3,404.8,535.5,127000,Not Available,Not Available,186.1,Yes
Manhattan,77066,Office,82800,1890,1,100,Whole Building,Whole Building,80,72.4,Not Available,Not Available,Not Available,Not Available,3148298,Not Available,3830362,Not Available,542.3,186.8,355.5,100000,1270.8,12.71,156,Yes
Manhattan,57486,Multifamily Housing,52936,1920,1,100,Whole Building,Whole Building,Not Available,50.9,54.8,4.7,0,89.7,75625,756.3,950526.3,270964.5,233.2,145,88.2,57486,417.4,7.26,86.7,Yes
Manhattan,65972,Office,55464,1920,1,100,Whole Building,Not Available,76,73.1,Not Available,Not Available,Not Available,Not Available,40170.2,Not Available,3471587.8,Not Available,475.5,153.3,322.2,75913,1379.5,18.17,171.3,No
Manhattan,66295,Office,30201.9,1900,1,100,Whole Building,Whole Building,Not Available,51.3,54.7,7.3,0.3,109.4,1489830,16808.5,1402100.6,410932.1,209.2,79.1,130.1,56400,400.1,7.09,105.8,Yes
Manhattan,55710,Office,54889,1900,1,100,Whole Building,Whole Building,98,47.7,50.8,9.5,0.2,121,1043300,12496.4,2197734.1,644118.9,259.4,55.4,203.9,67889,Not Available,Not Available,117.8,Yes
Manhattan,55120,Office,70000,1900,1,100,Whole Building,Whole Building,38,81.7,83.3,20.1,0,230.3,6467.7,78,4803734.8,1407894,514.4,68.6,445.8,70000,777.2,11.1,228.7,No
Manhattan,63888,Multifamily Housing,60036,1900,1,100,Whole Building,Whole Building,Not Available,48.4,Not Available,3.3,0,Not Available,212100,2188.3,839334.9,245995,279,201.2,77.9,74536,552.8,7.42,73,No
Manhattan,65340,Multifamily Housing,44185,1985,1,100,Whole Building,Not Available,Not Available,50.5,55.6,3.5,0.4,83.6,2511604.6,28446.7,789303.5,231331.6,206.7,133.4,73.2,65340,418.9,6.41,78.3,Yes
Manhattan,74428,Multifamily Housing,95475,1910,1,100,Whole Building,Not Available,Not Available,40.9,43.1,5.3,0.2,83,2395492.4,26617.8,1964038,563813.8,309.5,127.2,182.3,106475,Not Available,Not Available,81.5,Yes
Manhattan,182655,Office,234219,1929,1,90,Whole Building,Whole Building,94,52.9,52.2,9.7,0.2,124.2,4127432.5,41274.3,8303239.1,2362540.2,1019.3,248.8,770.5,242550,1164,4.8,127,Yes
Manhattan,60852,Office,53352,1985,1,100,Whole Building,Whole Building,87,69.2,73,7.7,0.5,131.8,2564807.4,28376.6,1646149.6,470565.1,289,136.2,152.8,60852,2902.4,47.7,129.2,Yes
Manhattan,395075,Hotel,380427,2010,1,75,Whole Building,Whole Building,35,103.6,105.1,15.3,0,227.7,294310,3087.9,20915355.7,6000653.8,3239.5,15.6,3223.8,391124,32667.9,83.52,228.1,Yes
Manhattan,184900,Multifamily Housing,182204,1982,1,100,Whole Building,Whole Building,Not Available,65.4,68.4,5.2,0.5,108.9,8880665.8,95281.3,3404527.2,975976.4,787.6,471.7,315.9,187875,Not Available,Not Available,106.5,Yes
Manhattan,54431,Multifamily Housing,57152,1911,1,100,Whole Building,Not Available,49,54.7,59.3,4.6,0.4,95.2,2208599.8,24900.7,918510.4,263772.6,202.5,117.3,85.2,57152,1282.2,22.43,91,Yes
Manhattan,63587,Multifamily Housing,74184,1926,1,100,Whole Building,Not Available,1,172,180.6,15.6,0.5,297.7,3403900,34538.5,3950546.6,1157838.9,948.5,581.9,366.6,74184,11692.1,157.61,289,No
Manhattan,56340,Office,46740,1912,1,100,Whole Building,Whole Building,78,67.4,69.4,12.2,0.3,159.8,1646170.6,18240.6,2784095.3,801572.6,345.8,87.4,258.4,65730,1329.3,20.22,159.3,Yes
Manhattan,54800,Office,54800,1900,1,100,Whole Building,Not Available,13,139.1,139.9,27.8,0.5,345,2428687.2,24695.5,5195170.4,1522617.2,611.1,129,482.1,54800,916.6,16.73,344.2,Yes
Manhattan,96000,Office,95498,1900,1,100,Whole Building,Whole Building,98,79.2,79.4,0.7,0,85.4,99300,1118.2,232558.5,68159,563.8,542.2,21.6,95498,Not Available,Not Available,85.3,Yes
Manhattan,67440,Office,54978,1900,1,100,Whole Building,Whole Building,56,86.1,85.5,14.9,0,194.5,1076.5,12,4110571.3,1190362.4,590.4,208.9,381.5,79978,497,6.21,196.4,Yes
Manhattan,122454,Office,113053,1890,1,100,Whole Building,Whole Building,79,95.3,97.9,20.1,0.1,245.2,1260443.9,12604.4,9480222.5,2778493.9,1128.3,248.5,879.8,138363,3779.9,27.32,242.6,Yes
Manhattan,51180,Multifamily Housing,40000,1860,1,100,Whole Building,Whole Building,Not Available,65.1,73.3,0.7,0.7,82.2,2502636.9,28338,100005.7,29310,142.2,132.9,9.3,40000,988.5,24.71,73.5,Yes
Manhattan,114488,Multifamily Housing,51600,1904,1,100,Whole Building,Not Available,1,156.4,165.6,25.2,Not Available,350.8,Not Available,Not Available,4509004,1302803.6,686.6,268.2,418.4,51600,1411.6,27.36,344.1,No
Manhattan,243442,Office,217958,1900,1,100,Whole Building,Whole Building,69,74.5,76.6,17.4,0.2,204.7,3291100.3,37453.4,12956219.8,3797250.4,1377.1,174.8,1202.3,217958,Not Available,Not Available,202.5,Yes
Manhattan,54517,Multifamily Housing,60000,1989,1,100,Whole Building,Not Available,Not Available,45.7,Not Available,5,0,Not Available,32900,341.6,1051342.9,301300.9,222.5,125,97.6,60000,Not Available,Not Available,83.5,Yes
Manhattan,192471,Office,221000,1920,1,80,Whole Building,Whole Building,98,37.4,39,6.9,0.2,90.4,3031299.8,33802.3,5230309.1,1532915.7,646.4,161,485.4,221000,3750,16.97,88.7,No
Manhattan,50323,Multifamily Housing,76459,2005,2,100,Whole Building,Whole Building,Not Available,66,65.7,7.3,0.4,120.8,3453907.3,34539.1,2111247.5,612345.8,379.4,183.5,195.9,84365,1979,23.46,121.6,No
Manhattan,54300,Multifamily Housing,58537,1900,1,100,Whole Building,Whole Building,Not Available,45.7,48.8,5.1,0.3,87.4,1824632.6,20224,1114403.7,326613,200.3,96.9,103.4,64300,Not Available,Not Available,84.2,Yes
Manhattan,62362,Office,69500,1985,1,100,Whole Building,Whole Building,67,61.7,61.7,16.1,0.1,179.4,516671.5,6094.3,4909631.7,1413920.4,483.1,27.4,455.6,88000,1695.1,19.26,181.3,No
Manhattan,67636,Multifamily Housing,60000,1996,1,100,Whole Building,Whole Building,63,54.1,58.8,8.7,Not Available,122.8,Not Available,Not Available,2234329.7,654844.5,342.6,135.2,207.3,75000,1348.7,17.98,118.1,Yes
Manhattan,63174,Multifamily Housing,57122,1920,1,100,Whole Building,Whole Building,81,54.4,57.3,6.7,0.1,106.7,390432.5,3956.4,1361146.2,382139.7,247.8,121.5,126.3,57122,849.4,14.87,106,Yes
Manhattan,214110,Office,214110,1926,1,95,Whole Building,Whole Building,64,82.4,84.6,16.3,0.3,205.3,5386932.3,61727,12264638.5,3498476.6,1424.3,286.1,1138.2,214110,2193.5,10.24,206.3,Yes
Manhattan,172836,Multifamily Housing,202793,1966,1,100,Whole Building,Whole Building,61,81.6,80.8,4.4,0.7,116.6,13309982.9,133099.8,3243500.6,901704.8,1008,707,301,202793,8884.3,43.81,119.1,Yes
Manhattan,311477,Office,301968,1983,1,100,Whole Building,Whole Building,73,101.6,104.6,21.5,0.3,263,8067070.2,94847.3,22621900.8,6481809.2,2527.8,428.5,2099.3,301968,7904.1,26.18,263.3,Yes
Manhattan,169961,Office,178459,1927,1,100,Whole Building,Whole Building,89,67,71.2,10.1,0.4,146.9,5635923.3,65483.2,6316852.1,1804330.4,885.6,299.4,586.2,178459,1970.4,11.04,144.3,No
Manhattan,130076,Multifamily Housing,88965,1900,1,100,Whole Building,Whole Building,24,76.3,78.9,12.8,0,172.8,270964.7,3000,4919876.8,1419472.2,714.1,257.6,456.6,110925,2893.5,26.08,171.7,Yes
Manhattan,206798,Office,198622,1885,1,100,Whole Building,Not Available,87,60.7,61.9,10.5,0.3,139.9,5908788.4,63037.7,8785779.9,2542982.8,1129.2,313.8,815.3,242022,Not Available,Not Available,139.6,No
