Borough,DOF Gross Floor Area,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),ENERGY STAR Score,Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Water Required?
Manhattan,73354,Multifamily Housing,83062,2003,1,100,Whole Building,Not Available,64,76.6,82.2,5,0.7,121.6,4932760.2,54221.4,1432630.5,411554,395,262,132.9,83062,Not Available,Not Available,116.5,Yes
Manhattan,195842,Multifamily Housing,206697,1980,1,100,Whole Building,Whole Building,8,115.8,120.5,11.9,0.8,211.1,15564200,165292.4,8371737.4,2453615.6,1603.6,826.7,776.9,206697,29148.6,141.02,206.2,Yes
Manhattan,106332,Multifamily Housing,115597,1984,1,100,Whole Building,Not Available,27,111.1,115.4,8.3,0.9,180.1,9585700.2,100863.3,3255935.3,954259.9,811.3,509.1,302.1,115597,Not Available,Not Available,175.5,Yes
Manhattan,191721,Multifamily Housing,192721,1971,1,100,Whole Building,Not Available,70,97.2,102,4.6,0.4,137.8,7987690.7,79876.9,3106220.8,879530.9,1279.1,990.9,288.3,192721,Not Available,Not Available,134.1,Yes
Manhattan,128640,Multifamily Housing,127884,2012,1,100,Whole Building,Not Available,86,64.1,66.9,4.9,0.5,104.9,5996801,64361.5,2199292.1,621913.7,522.6,318.5,204.1,127884,13279.4,103.84,103.2,No
Manhattan,76941,Multifamily Housing,70990,2007,1,100,Whole Building,Whole Building,Not Available,76.8,80.5,6.2,0.6,128.9,4243436.6,45585,1664519.3,478920.2,379.9,225.4,154.5,76941,7085.5,92.09,125.8,No
Manhattan,62791,Outpatient Rehabilitation/Physical Therapy,62791,1992,1,100,Whole Building,Whole Building,Not Available,112.9,114.5,14.4,0.7,222.8,3914206.7,41038.9,3175480.1,903658.6,502.6,207.9,294.7,62791,10380,165.31,224.3,Yes
Manhattan,285185,Multifamily Housing,216081,1972,1,100,Whole Building,Not Available,Not Available,152.3,151.3,10,1.1,229.8,31464588.6,314645.9,9786481.6,2781237.4,2671.3,1763.1,908.2,278929,113720.3,407.7,233.1,Yes
Manhattan,247156,Multifamily Housing,162105,1972,1,100,Whole Building,Not Available,18,150.8,149.8,9.9,1.1,227.5,27268855.7,272688.6,8481474.1,2410365.2,2315.1,1528,787.1,244137,Not Available,Not Available,230.8,No
Manhattan,297425,Multifamily Housing,267529,1972,1,100,Whole Building,Not Available,2,150.9,149.8,9.9,1.1,227.6,32814854.2,328148.5,10206506,2900604.7,2785.9,1838.8,947.2,293706,Not Available,Not Available,230.9,Yes
