"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"3098","Manhattan",691519,"Office","Office",730042,2012,1,85,"WholeBuilding",96,51.7,54.5,9.2,NA,126.7,NA,NA,23539541.8,6833405,3158.5,0,3158.5,739305,10893.1,14.73,123.8,"Yes","Office"
"3099","Manhattan",79827,"Office","Office",91515,1928,1,100,"WholeBuilding",58,81.4,83.7,17,0,213.1,28325.8,283.3,5413775.8,1557539.6,637.5,1.5,636,91515,5990.3,65.46,212.5,"No","Office"
"3101","Manhattan",85952,"Office","Office",101422,1927,1,100,"WholeBuilding",73,76.6,81,13.9,0,183.1,35821.5,390.3,4924258.5,1413520.3,670.6,213.7,457,101422,4129.2,40.71,180.8,"No","Office"
"3102","Manhattan",58996,"Office","Office",58996,1932,1,100,"Other",45,109.6,NA,20.2,0.1,NA,334277.4,3342.8,4132473.3,1191261.8,549.7,166.2,383.5,58996,2574.8,43.64,260.1,"No","Office"
"3103","Manhattan",120790,"Office","Office",132750,1926,1,95,"Other",73,55.8,55.3,14.9,0,164.4,274.7,2.7,6820295.8,1981392.4,676.9,44,632.9,132750,NA,NA,165.8,"No","Office"
"3104","Manhattan",373005,"Office","Office",343328,1927,1,100,"WholeBuilding",78,80.3,83.5,17.3,0,209.8,2235.5,22.4,26541177.5,7705171.7,3151.4,688.4,2463,446328,18520.3,41.49,207.7,"No","Office"
"3105","Manhattan",93123,"Office","Office",86273,1987,1,100,"Other",56,68.4,69,18.4,NA,204.5,NA,NA,5900357,1729295.5,583.1,0,583.1,94123,NA,NA,203.7,"Yes","Office"
"3106","Manhattan",70135,"Office","Office",68667,1964,1,90,"Other",62,91.2,93,15.2,0.2,209.4,1696799.8,14985.8,4577568.5,1341608.4,634.1,90.1,544,88513,1554.9,17.57,206.9,"No","Office"
"3107","Manhattan",60500,"Office","Office",63022.4,1918,1,100,"WholeBuilding",78,47.8,47,12.7,0,139.6,237075.3,2437.3,2774044.3,797237.4,270,12.6,257.4,64143,966.3,15.33,142.2,"No","Office"
"3108","Manhattan",80604,"Office","Office",88250,1925,1,95,"Other",70,54.5,53.8,15.8,NA,169,NA,NA,4813376.1,1391677.1,446.7,0,446.7,88250,NA,NA,171.3,"No","Office"
"3109","Manhattan",58201,"Office","Office",58200,1930,1,100,"Other",33,135.6,NA,17.2,0.3,NA,1805390.5,18053.9,3480281,1002200.2,612.3,289.4,323,58200,3142.7,54,265.6,"No","Office"
"3110","Manhattan",118134,"Office","Office",118134,1930,1,100,"Other",37,148.8,NA,21.7,0.4,NA,4914955,49149.6,8923836.4,2566472.3,1366.9,538.8,828.1,118134,9290.3,78.64,312.9,"No","Office"
"3112","Manhattan",248896,"Office","Office",226363,1964,1,90,"Other",48,116,112.6,15.2,NA,236.1,NA,NA,12874219,3773217.3,2249.7,0,2249.7,247919,NA,NA,240.2,"No","Office"
"3113","Manhattan",155513,"Multifamily Housing","Multifamily Housing",127038,2006,1,100,"Other",2,101,104.4,16.5,0.5,227.5,5923459.3,64309.7,7621891.9,2218567.4,1021.9,314.6,707.3,134166,NA,NA,224.7,"No","MultiFamilyHousing"
"3115","Manhattan",389438,"Office","Office",326305,1939,1,95,"WholeBuilding",54,104.9,107.5,16,NA,232.4,NA,NA,21613853.2,6334657.3,3253.5,0,3253.5,396109,NA,NA,229,"No","Office"
"3116","Manhattan",127558,"Office","Office",90908,1932,1,100,"WholeBuilding",27,115.3,121,23.3,NA,299.4,NA,NA,9756653.5,2826015.9,1186.9,0,1186.9,121352,5699.8,46.97,294.5,"No","Office"
"3117","Manhattan",272637,"Office","Office",97900,1939,1,100,"WholeBuilding",2,199,200.4,22.7,NA,377.1,NA,NA,11439026.9,3352586.6,2100.6,0,2100.6,147585,NA,NA,374.3,"Yes","Office"
"3118","Manhattan",2963699,"Office","Office",2291626,1939,1,95,"WholeBuilding",20,119,119.3,38.1,NA,409.6,NA,NA,381566953.7,110916652.2,35891.9,0,35891.9,2911536,NA,NA,411.3,"No","Office"
"3120","Manhattan",1899211,"Office","Office",1903582,1963,1,100,"WholeBuilding",65,108.3,106.1,16.1,0,234,2271281,23411.8,115022265.1,33711093.5,18046.9,120.6,17926.3,2091434,66664.5,31.88,236.7,"No","Office"
"3121","Manhattan",582428,"Office","Office",623000,1947,1,100,"WholeBuilding",3,11.7,12.3,3.6,NA,38.5,NA,NA,7298950.3,2241197.4,677.3,0,677.3,623000,2523.2,4.05,36.8,"No","Office"
"3122","Manhattan",285841,"Office","Office",288063,1949,1,100,"WholeBuilding",85,64.3,66.7,14.7,NA,177.6,NA,NA,17925273.8,5253596.6,1996,0,1996,356686,5919.3,16.6,174.7,"No","Office"
"3123","Manhattan",103429,"Hotel","Hotel",103429,2007,1,90,"WholeBuilding",51,88.4,89.4,16.4,0.3,210.8,3355100.1,34591.1,5788116.9,1696399.8,715.3,178.2,537.1,103429,4459.1,43.11,209.8,"No","Others"
"3124","Manhattan",64727,"Hotel","Hotel",64727,2009,1,90,"WholeBuilding",1,50621.6,50621.4,1.9,0,60911.6,323300,3233,437281.9,124533.7,217567.5,17.2,217550.3,64727,3407.4,52.64,60912.2,"No","Others"
"3125","Manhattan",817095,"Office","Office",875000,1965,1,100,"WholeBuilding",67,111.3,113.1,17.7,NA,253.1,NA,NA,52846263.2,15488351.9,7859.3,0,7859.3,875000,39322.3,44.94,250.8,"No","Office"
"3126","Manhattan",75806,"Office","Office",71644,1991,1,100,"Other",20,76.3,78.3,22.9,NA,245.8,NA,NA,5463624.8,1643786.1,2186.6,0,2186.6,71644,2755.2,38.46,239.5,"No","Office"
"3127","Manhattan",730175,"Office","Office",765771,1986,1,100,"WholeBuilding",83,73.6,74.4,19.3,NA,217.2,NA,NA,54171937.4,15732729,5406.7,0,5406.7,814121,11783.5,14.47,217.4,"No","Office"
"3128","Manhattan",1329229,"Office","Office",1417972,1957,1,100,"Other",40,119.2,117.3,21.8,NA,285.3,NA,NA,117283054.7,34114325,15468.8,0,15468.8,1563751,34570.5,22.11,288.6,"No","Office"
"3129","Manhattan",346700,"Multifamily Housing","Multifamily Housing",210864,2012,1,100,"WholeBuilding",1,166.3,171.2,28.9,0.7,386,14098024.1,153031.9,20963145.9,6096424.6,2694.2,748.8,1945.4,210864,NA,NA,382.4,"Yes","MultiFamilyHousing"
"3130","Manhattan",500187,"Office","Office",528000,1965,1,90,"WholeBuilding",70,111.1,111.9,13,NA,220.3,NA,NA,23787781.9,6971799.2,4595.9,0,4595.9,538000,17645.8,32.8,219.3,"No","Office"
"3131","Manhattan",205020,"Office","Office",169672,1957,1,100,"Other",85,69.8,NA,NA,NA,NA,NA,NA,8076327.7,NA,1279.5,0,1279.5,230193,NA,NA,151.9,"No","Office"
"3132","Manhattan",503000,"Multifamily Housing","Multifamily Housing",553300,1982,1,100,"WholeBuilding",51,47.5,48.6,7.8,0.2,107,11240777.1,120818.2,15023048.2,4340809.3,1991.2,597.1,1394.1,553300,NA,NA,106.6,"No","MultiFamilyHousing"
"3133","Manhattan",274656,"Hotel","Hotel",265002,1926,1,100,"Other",8,170.5,174.4,13.9,1.3,281.9,38010933.5,396024.1,15113191.7,4316550.4,3421.4,2018.9,1402.5,311592,NA,NA,280.4,"No","Others"
"3134","Manhattan",61584,"Multifamily Housing","Multifamily Housing",76628,1946,1,100,"Other",87,51.2,54.9,4.5,NA,95.8,NA,NA,1300448.7,370694.2,313.3,0,313.3,82128,NA,NA,92.2,"No","MultiFamilyHousing"
"3135","Manhattan",72845,"Multifamily Housing","Multifamily Housing",99000,1939,1,100,"Other",67,63.5,67.3,5.2,0.5,107.8,4490146.2,49052.9,1796482.6,515274.1,405.2,238.5,166.7,99000,NA,NA,104.6,"Yes","MultiFamilyHousing"
"3136","Manhattan",204122,"Hotel","Hotel",2e+05,1899,1,100,"WholeBuilding",61,70.4,70.4,17.9,0.1,201.3,1881439.6,18814.4,12184581.7,3571096.2,1231.8,99.9,1131.9,200000,155.6,0.78,201.3,"Yes","Others"
"3137","Manhattan",252405,"Hotel","Hotel",272104,1902,1,100,"WholeBuilding",68,162.8,166.3,23.7,0.1,355.5,2563227.2,25632.3,23034596.1,6662958,3609.2,136.1,3473,280774,18490.1,65.85,353.4,"Yes","Others"
"3138","Manhattan",75000,"Office","Office",74523,1987,1,100,"Other",39,86,88.1,21.2,NA,245.9,NA,NA,5425326.1,1577111.9,568.6,0,568.6,74523,NA,NA,244.4,"Yes","Office"
"3139","Manhattan",517199,"Office","Office",533545,1964,1,100,"WholeBuilding",75,102.3,101.7,13.9,0,214.1,0,0,25437391.3,7455272,4319.5,0,4319.5,537262,11273.1,20.98,214.7,"No","Office"
"3141","Manhattan",56005,"Multifamily Housing","Multifamily Housing",51005,1915,1,100,"Other",81,69.3,74.9,3.5,0.6,103.5,3189803,35306.8,688629.6,194982.5,233.3,169.4,63.9,56005,NA,NA,98.4,"No","MultiFamilyHousing"
"3142","Manhattan",520796,"Office","Office",488940,1990,1,100,"Other",78,69.2,71,15.6,NA,188.3,NA,NA,30850588.1,8946863.3,3454.3,0,3454.3,574857,8144.3,14.17,187.2,"Yes","Office"
"3143","Manhattan",311501,"Office","Office",202461,1971,1,90,"WholeBuilding",51,118.3,117.9,14.6,NA,238.6,NA,NA,17643380.9,5087437.1,3196.8,0,3196.8,347545,5634.2,16.21,240.7,"Yes","Office"
"3144","Manhattan",180000,"Multifamily Housing","Multifamily Housing",180000,1963,1,100,"WholeBuilding",11,95.1,94.9,5.1,0,147.9,344790.9,3485.9,3193907.1,926009.4,1216.1,18.3,1197.8,180000,3506.3,19.48,148.5,"Yes","MultiFamilyHousing"
"3145","Manhattan",303642,"Multifamily Housing","Multifamily Housing",303642,1963,1,70,"Other",13,111.5,112.5,9.1,0.2,192.1,6305390.8,63053.9,9546940.8,2754180.9,2415.9,334.9,2081,303642,NA,NA,191.8,"No","MultiFamilyHousing"
"3146","Manhattan",88722,"Office","Office",110808,1920,1,100,"WholeBuilding",94,51.5,55.9,7.3,NA,115.4,NA,NA,2774805.6,807278.3,452.2,0,452.2,110808,2011.5,18.15,110.5,"No","Office"
"3147","Manhattan",54959,"Hotel","Hotel",57707,1999,1,100,"WholeBuilding",24,176.9,179.8,27,0.9,381,4839700,50667.3,5366939.4,1555459.8,755.1,257.1,498.1,57707,6239.5,108.12,380.1,"Yes","Others"
"3148","Manhattan",81174,"Office","Office",81174,1916,1,100,"WholeBuilding",1,22259,22258.2,22.5,0,26926.2,0,0,6298992.6,1826676,120138.5,0,120138.5,81174,NA,NA,26928.8,"No","Office"
"3149","Manhattan",712000,"Office","Office",527232,1972,1,100,"WholeBuilding",55,125.4,125.7,20.3,0.3,280.5,27732599.8,273787.1,57535785.3,16687995.4,7980.8,1473,6507.8,820557,NA,NA,281.5,"No","Office"
"3150","Manhattan",73732,"Office","Office",61971,1926,1,100,"WholeBuilding",66,117.9,122.1,16.9,0.3,254.1,2184258.7,21842.6,4415821.9,1267793.8,675.4,116,559.4,75077,6280.8,83.66,251.3,"No","Office"
"3152","Manhattan",62648,"Office","Office",45690,1923,1,100,"WholeBuilding",100,32.9,36.4,3.9,NA,69.4,NA,NA,865365.1,253624,165.8,0,165.8,65452,1128.1,17.23,65.2,"No","Office"
"3153","Manhattan",143914,"Office","Office",111008,1928,1,100,"WholeBuilding",31,134.1,137.9,19.1,0.4,286.3,5272524.1,53493.3,9312404.1,2656143.4,1413.9,280,1133.9,139008,9193.2,66.13,285.3,"No","Office"
"3154","Manhattan",69649,"Office","Office",79474,1923,1,100,"WholeBuilding",77,59.6,62.1,11.4,NA,149.9,NA,NA,3174822.3,903876.6,398.4,0,398.4,79474,NA,NA,149.1,"No","Office"
"3155","Manhattan",1383760,"Office","Office",1383760,1971,1,100,"WholeBuilding",1,51831.2,51697.6,18,0,62313.4,1517958.1,15179.6,85204941.5,24972136.9,4764455.6,80.6,4764375,1383760,NA,NA,62474.1,"Yes","Office"
"3156","Manhattan",58001,"Office","Office",58020,1970,1,100,"Other",95,46.5,51,6.8,NA,106.2,NA,NA,1459715.9,427818.2,233.2,0,233.2,63020,NA,NA,100.8,"No","Office"
"3157","Manhattan",211669,"Retail Store","Retail Store",249754,1928,1,100,"Other",70,107.2,107.2,31.4,NA,336.5,NA,NA,26767533.7,7845114.4,2484,0,2484,249754,NA,NA,336.5,"Yes","Others"
"3158","Manhattan",61000,"Office","Office",61000,1948,1,100,"WholeBuilding",1,51328.8,57361.3,16.6,0.2,69115.1,998567.8,9985.7,3449407.9,1010963.5,207975.2,53,207922.2,61000,NA,NA,61857.7,"Yes","Office"
"3159","Manhattan",122889,"Multifamily Housing","Multifamily Housing",122528,1926,1,100,"WholeBuilding",13,108.3,112.3,14.1,0.6,218.6,7377236.1,79815.1,6110013.6,1759108.2,958.8,391.8,567,124528,5168.3,41.5,216.3,"No","MultiFamilyHousing"
"3161","Manhattan",109908,"Hotel","Hotel",115819,1924,1,80,"WholeBuilding",11,127.8,129.2,25.4,0.1,315.9,1282230.3,14568.3,10051188.4,2945276.2,1257.8,325.1,932.7,115819,NA,NA,314.3,"No","Others"
"3162","Manhattan",251073,"Multifamily Housing","Multifamily Housing",204841,1969,1,100,"Other",1,144.4,142,9.1,0,230.9,262387.2,2661.5,6520758.6,1869968.1,2132.6,13.9,2118.6,204841,NA,NA,235.2,"No","MultiFamilyHousing"
"3163","Manhattan",269346,"Hotel","Hotel",254829,1990,1,100,"WholeBuilding",46,64.7,65,15.9,0.1,181.4,2711600,27844.3,13788420.8,4041154.5,1423.6,144,1279.6,254829,18427,72.31,181.1,"Yes","Others"
"3164","Manhattan",442000,"Hotel","Hotel",442000,1971,1,100,"WholeBuilding",25,141.3,141.1,10.9,0,241.1,1941800,19418,16685853.8,4814403.3,4562,103.1,4458.9,442000,NA,NA,242.5,"No","Others"
"3166","Manhattan",101278,"Multifamily Housing","Multifamily Housing",96278,1963,1,100,"WholeBuilding",89,60,62.7,7.2,0,116,89700,927.5,2555724.5,732663,500.5,263.3,237.2,101278,NA,NA,114.4,"No","MultiFamilyHousing"
"3167","Manhattan",56986,"Medical Office","Medical Office",58508,1921,1,100,"Other",74,91.5,NA,15,NA,NA,NA,NA,3180848.3,917447.8,473.9,178.7,295.2,61058,NA,NA,203.4,"No","Others"
"3168","Manhattan",96137,"Multifamily Housing","Multifamily Housing",80293,1901,1,100,"Other",1,201.7,210.4,18.7,0.3,349.9,2707338.6,27292.3,5217060.3,1503045.8,1251.4,767.3,484.1,80293,13920.5,173.37,343.5,"No","MultiFamilyHousing"
"3169","Manhattan",328679,"Hotel","Hotel",328679,1928,1,95,"WholeBuilding",80,69,70.7,8.2,NA,139.1,NA,NA,9392553.5,2687439.2,1753.1,0,1753.1,328679,20237,61.57,138.3,"Yes","Others"
"3170","Manhattan",777983,"Multifamily Housing","Multifamily Housing",356791,2007,1,100,"Other",1,179.6,NA,30.4,NA,NA,5003802.9,NA,58344316.5,16928435.2,8123.7,265.8,7858,557499,NA,NA,417.5,"No","MultiFamilyHousing"
"3171","Manhattan",201387,"Office","Office",190221,1988,1,100,"WholeBuilding",85,71.2,72.9,17.7,NA,204.9,NA,NA,12086300.6,3542291.6,1262.7,0,1262.7,199690,4084.4,20.45,202.9,"No","Office"
"3172","Manhattan",84500,"Hotel","Hotel",74485,1990,1,100,"WholeBuilding",40,145.9,151.1,12.7,1.1,249.4,7501499.7,80267.8,3363297.4,946985.8,710.6,398.4,312.1,74485,8733,117.25,247.5,"No","Others"
"3173","Manhattan",57653,"Office","Office",57653,1913,1,100,"WholeBuilding",81,72.6,71.7,9.8,0,143.6,2843.7,30.3,1979489,564918.3,347.4,163.7,183.7,57653,712,12.35,146.5,"No","Office"
"3174","Manhattan",102079,"Office","Office",121086,1918,1,100,"WholeBuilding",78,88,95.7,9.8,0.6,170.2,6509888.5,75565.3,4147839.6,1183140.6,730.7,345.8,384.9,121086,7099.6,58.63,164,"No","Office"
"3175","Manhattan",407127,"Office","Office",407127,1926,1,25,"Other",84,50.1,53.3,8.7,NA,121.9,NA,NA,12147009.1,3560084.3,1675.3,0,1675.3,407127,NA,NA,118.1,"No","Office"
"3176","Manhattan",778203,"Office","Office",868350,1948,1,100,"WholeBuilding",78,69.4,69.6,14.8,0,181.5,1738600.1,17386,45693226.6,13209124.1,5285.1,92.3,5192.8,889875,16621,18.68,182.7,"Yes","Office"
"3177","Manhattan",62650,"Hotel","Hotel",67140,1910,1,100,"WholeBuilding",46,123.2,122.7,17.1,0.6,250.6,4324139,43241.4,3947804,1146731.7,596,229.7,366.4,67140,6160.2,91.75,252.3,"Yes","Others"
"3178","Manhattan",298648,"Office","Office",298648,1929,1,90,"WholeBuilding",88,64.7,67.6,11,NA,153.7,NA,NA,11363517.7,3272347.1,1583.9,0,1583.9,298648,3338.9,11.18,151.6,"Yes","Office"
"3179","Manhattan",92949,"Office","Office",107236,1910,1,100,"WholeBuilding",72,87.6,89.9,12,0,178.2,556090.2,5560.9,4726485,1333709.4,799,360.4,438.6,111236,NA,NA,179.1,"No","Office"
"3181","Manhattan",220413,"Office","Office",179848,1927,1,95,"WholeBuilding",98,54.9,59.6,6.6,NA,115.4,NA,NA,4394361.8,1287913.6,825.5,0,825.5,194777,4154.4,21.33,109.7,"No","Office"
"3182","Manhattan",163763,"Office","Office",163743,1971,1,100,"Other",71,79.9,82.8,14.3,NA,194.1,NA,NA,8203039.6,2341387.4,1085.7,0,1085.7,163743,NA,NA,193.2,"No","Office"
"3183","Manhattan",600000,"Office","Office",629814,1981,1,100,"WholeBuilding",44,138,139.4,29.1,0,359.8,101630.3,1016.3,63693231.1,18302130.6,7451.5,5.4,7446.1,629814,23757.3,37.72,361.9,"No","Office"
"3184","Manhattan",1150564,"Office","Office",1111437,1928,1,100,"WholeBuilding",88,71.3,74.9,9.5,0,152.9,2341645.5,23416.5,38539496.3,11055059.1,6469.4,124.4,6345,1158407,21740.9,18.77,149.9,"No","Office"
"3185","Manhattan",138883,"Office","Office",149292,1917,1,100,"WholeBuilding",66,99.6,105.4,14.6,0,212.4,308003,3422.6,7568266.1,2173612.8,1237.4,535.1,702.3,149292,5532.3,37.06,208.6,"Yes","Office"
"3186","Manhattan",1142417,"Office","Office",1047403,2003,1,100,"WholeBuilding",75,113.6,116.2,25.8,0,309.9,594493.6,5944.9,95192277.2,27583319.7,10585.1,31.6,10553.5,1071012,1825.8,1.7,308.8,"No","Office"
"3187","Manhattan",132961,"Office","Office",156989,1916,1,100,"WholeBuilding",80,89,95.7,12.1,0,184.5,586306.7,5863.1,6592463.4,1892574.7,1146.6,534.8,611.8,156989,7738.2,49.29,179.4,"No","Office"
"3188","Manhattan",251043,"Office","Office",256200,2006,1,95,"Other",55,86.4,89.6,18,NA,226.7,NA,NA,17281508.9,5064919.9,2072.1,0,2072.1,281627,3794.1,13.47,222.8,"No","Office"
"3189","Manhattan",304526,"Office","Office",317786,1969,1,100,"Other",52,103.5,102.4,13.4,NA,211.7,NA,NA,15447847.9,4486748.4,2712.6,0,2712.6,335310,NA,NA,213.8,"No","Office"
"3190","Manhattan",733001,"Office","Office",799473,1963,1,100,"WholeBuilding",81,78.7,81,18.4,NA,219.1,NA,NA,50903489.4,14918957.6,5578.1,0,5578.1,810475,13362.7,16.49,216.3,"No","Office"
"3191","Manhattan",125632,"Financial Office","Financial Office",118008,1915,1,100,"WholeBuilding",28,136.4,NA,25.6,NA,NA,2338.7,NA,10383646.7,3043272.4,1395.4,431.8,963.6,118784,NA,NA,324,"No","Others"
"3192","Manhattan",408911,"Office","Office",446650,1928,1,100,"WholeBuilding",82,80.2,80.8,12.8,0,181.3,1684100,16841,21609314.8,6280802.2,3162.5,89.5,3073.1,490710,11873.8,24.2,181.3,"No","Office"
"3193","Manhattan",558735,"Office","Office",750000,1921,1,100,"WholeBuilding",93,47.5,47.2,13.6,0,146.4,540700,6482.5,35072631.8,10185856.5,3283.4,28.7,3254.7,750000,12179,16.24,147.6,"No","Office"
"3194","Manhattan",874744,"Office","Office",892239,1914,1,100,"Other",67,66.9,66.1,18.8,NA,203.6,NA,NA,58106812.3,16757611,5495.8,0,5495.8,892239,NA,NA,206.6,"No","Office"
"3195","Manhattan",62918,"Hotel","Hotel",65000,1989,1,100,"Other",6,110.7,108.5,27.6,0.1,310.5,937554.5,9375.5,6257979.7,1791863.6,630.5,49.8,580.7,65000,NA,NA,317.5,"No","Others"
"3196","Manhattan",271266,"Office","Office",242426,1959,1,100,"WholeBuilding",82,77.9,80.1,18.5,NA,218.5,NA,NA,17287921.4,5010887.3,1859.4,0,1859.4,271266,4505,16.61,217.2,"No","Office"
"3197","Manhattan",332312,"Office","Office",335108,1926,1,80,"WholeBuilding",61,98,104.3,14.9,NA,224.2,NA,NA,17078288.2,5005359.4,2630.4,0,2630.4,335108,13641,40.71,216.6,"No","Office"
"3198","Manhattan",140280,"Office","Office",79080,1915,1,100,"WholeBuilding",66,86.5,87,21,0,243.8,2424.2,27.7,10168752.8,2935587.3,1069.9,0.1,1069.8,139480,NA,NA,245.3,"No","Office"
"3200","Manhattan",380776,"Office","Office",380775,1922,1,100,"Other",62,85.9,83.5,13.5,NA,189.5,NA,NA,17668356.4,5131098.1,2638.3,0,2638.3,380775,NA,NA,193.2,"No","Office"
"3201","Manhattan",79290,"Office","Office",62035,1929,1,100,"Other",10,163.6,170.9,21.7,0.5,341.3,3294821.4,34182.5,5214247.3,1503226.4,847.4,175,672.4,69385,NA,NA,335.1,"No","Office"
"3202","Manhattan",164634,"Office","Office",186824,1896,1,80,"WholeBuilding",63,83.9,86.8,17.6,NA,220.7,NA,NA,11415187.4,3286587.4,1342.2,0,1342.2,186824,4047.6,21.67,219.3,"No","Office"
"3203","Manhattan",1043906,"Office","Office",1315485.8,1928,1,100,"WholeBuilding",87,78.2,80.2,15,0,195.3,9300,93,68766809,19785703.9,8686.7,0.5,8686.2,1323061,23933.9,18.09,194.8,"No","Office"
"3204","Manhattan",2768775,"Office","Office",2939257,1963,1,85,"Other",71,104.1,104.5,13.5,0,214.5,7224061.1,72240.6,137394745.4,40268091.6,24153.5,383.7,23769.8,2993388,NA,NA,214,"No","Office"
"3205","Manhattan",427178,"Office","Office",501879,1927,1,100,"Other",81,68.3,72,13.4,NA,174.9,NA,NA,23351446.3,6703994.4,2891.5,0,2891.5,501879,NA,NA,172.3,"No","Office"
"3206","Manhattan",598248,"Hotel","Hotel",678297,1924,1,100,"WholeBuilding",62,108.6,107.6,8.9,0.8,176.8,54049165,540491.7,22051548.7,6272949.8,4917.2,2870.8,2046.4,701038,15871.1,22.64,179.7,"No","Others"
"3207","Manhattan",84518,"Office","Office",100110,1920,1,80,"WholeBuilding",69,60,60,16.2,0,178.7,463502.3,4635,5542336.2,1624365.6,538.9,24.6,514.3,100110,2395,23.92,178.7,"No","Office"
"3208","Manhattan",87016,"Office","Office",87016,1958,1,95,"Other",61,91.1,94.5,14.4,0.5,202,3556100.2,39463.3,4369680.5,1253721.9,594.4,188.9,405.5,87016,4348.9,49.98,200.6,"No","Office"
"3209","Manhattan",206378,"Office","Office",207357,1955,1,100,"WholeBuilding",84,66.2,67.6,16.1,NA,188.1,NA,NA,13402694.7,3928104.7,1422.8,0,1422.8,243294,6877.5,28.27,186.3,"No","Office"
"3210","Manhattan",356057,"Office","Office",326106,2003,1,95,"Other",50,90.9,93.8,21.2,NA,252.8,NA,NA,24953525.7,7313459.2,2742.7,0,2742.7,345360,NA,NA,249.3,"No","Office"
"3211","Manhattan",330448,"Office","Office",310129,1993,1,95,"WholeBuilding",47,95.2,97.9,20,NA,249.9,NA,NA,22253893.6,6522242.3,2648.4,0,2648.4,326127,NA,NA,246.7,"Yes","Office"
"3212","Manhattan",444628,"Office","Office",448402,1922,1,85,"WholeBuilding",70,80.8,80.6,13.6,NA,186.9,NA,NA,21725585.4,6335444.5,3071.7,0,3071.7,465541,11610.2,24.94,187.6,"No","Office"
"3213","Manhattan",462417,"Office","Office",494809,1983,1,95,"WholeBuilding",82,65.1,66.9,15.3,NA,181.7,NA,NA,26881000.6,7878369.7,2931.4,0,2931.4,514122,7224.3,14.05,179.6,"No","Office"
"3214","Manhattan",130715,"Office","Office",126615,1951,1,75,"Other",76,66.3,69.7,13.4,NA,172.4,NA,NA,5788230.4,1696433.1,710,0,710,126615,NA,NA,168.3,"No","Office"
"3215","Manhattan",146191,"Office","Office",184140,1929,1,80,"WholeBuilding",95,57.2,NA,14,NA,NA,NA,NA,8928604.5,2586964.3,940.9,112.3,828.6,184140,2253.3,12.24,161.1,"No","Office"
"3217","Manhattan",156319,"Office","Office",101780,1950,1,100,"WholeBuilding",88,56.8,56,11.8,0,145.6,4609.1,46.1,7073138.2,2033563.2,835.7,0.2,835.4,172005,NA,NA,148,"No","Office"
"3218","Manhattan",52727,"Office","Office",54899,1930,1,100,"Other",37,84.2,86,19.6,NA,233,NA,NA,4568860.3,1315991.9,495.7,0,495.7,67128,NA,NA,233.1,"No","Office"
"3219","Manhattan",633650,"Office","Office",598058,1984,1,80,"WholeBuilding",67,88.4,94.4,13.7,0,203.7,810784.4,8259,28392458.4,8179561.1,4247.9,43.1,4204.9,598058,8429.4,14.09,198.1,"No","Office"
"3220","Manhattan",228064,"Office","Office",212119,1956,1,100,"WholeBuilding",93,49.4,50.6,12.4,NA,142.9,NA,NA,10041590.8,2943021.6,1042.6,0,1042.6,237258,3673.9,15.48,141.4,"No","Office"
"3221","Manhattan",102519,"Office","Office",59750,1926,1,100,"Other",23,106.3,NA,21.9,NA,NA,NA,NA,6412380.5,1876915.3,774.2,NA,774.2,85705,NA,NA,272.8,"Yes","Office"
"3222","Manhattan",62237,"Office","Office",73187,1924,1,100,"Other",50,92.3,97.2,15,NA,216,NA,NA,4033565.9,1145215.3,1814.2,0,1814.2,74679,2024.2,26.51,213.3,"No","Office"
"3223","Manhattan",151552,"Office","Office",117120,1925,1,100,"WholeBuilding",69,129.8,131.7,25.1,NA,324.5,NA,NA,13988108.3,4099679.5,1775.2,0,1775.2,163139,7351.9,45.06,322.2,"No","Office"
"3224","Manhattan",401686,"Office","Office",476000,1929,1,95,"WholeBuilding",87,62.5,64.7,13.5,NA,166.8,NA,NA,22153433.5,6409276.1,2560.1,0,2560.1,476000,0,0,165.3,"No","Office"
"3225","Manhattan",836660,"Office","Office",850000,1967,1,100,"Other",52,122.3,120.3,14.1,NA,237.7,NA,NA,40805744.6,11959478.2,7977.2,0,7977.2,850000,NA,NA,240.1,"No","Office"
"3226","Manhattan",645483,"Office","Office",755800,1955,1,100,"WholeBuilding",86,63.7,64.2,11.1,0,150.3,945255.6,9452.6,29408731.3,8619205.1,4051.8,50.2,4001.6,777658,13431.3,17.27,149.7,"Yes","Office"
