"","Borough","DOF.Gross.Floor.Area","Primary.Property.Type...Self.Selected","Largest.Property.Use.Type","Largest.Property.Use.Type...Gross.Floor.Area..ft..","Year.Built","Number.of.Buildings...Self.reported","Occupancy","Metered.Areas...Water.","Score","Site.EUI..kBtu.ft..","Weather.Normalized.Site.EUI..kBtu.ft..","Weather.Normalized.Site.Electricity.Intensity..kWh.ft..","Weather.Normalized.Site.Natural.Gas.Intensity..therms.ft..","Weather.Normalized.Source.EUI..kBtu.ft..","Natural.Gas.Use..kBtu.","Weather.Normalized.Site.Natural.Gas.Use..therms.","Electricity.Use...Grid.Purchase..kBtu.","Weather.Normalized.Site.Electricity..kWh.","Total.GHG.Emissions..Metric.Tons.CO2e.","Direct.GHG.Emissions..Metric.Tons.CO2e.","Indirect.GHG.Emissions..Metric.Tons.CO2e.","Property.GFA...Self.Reported..ft..","Water.Use..All.Water.Sources...kgal.","Water.Intensity..All.Water.Sources...gal.ft..","Source.EUI..kBtu.ft..","Water.Required.","building_type"
"9958","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",77,67.9,72.4,2.8,0.6,95.6,4134808.9,44977.8,740707,209658.2,308.8,240.1,68.7,75833,1751.2,23.09,91.6,"Yes","MultiFamilyHousing"
"9959","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",77,68.1,72.4,2.8,0.6,95.5,4143493.8,44981.1,745276,209412.6,309.7,240.6,69.2,75833,1983.1,26.15,91.9,"Yes","MultiFamilyHousing"
"9960","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",73,69,73.4,3.1,0.6,98.9,4138942.4,44886.3,819632.3,234209.8,316.4,240.3,76.1,75833,NA,NA,94.9,"Yes","MultiFamilyHousing"
"9961","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",73,70.3,74.7,2.9,0.6,98.9,4280641.3,46422.1,778204.1,218909.4,320.1,247.8,72.2,75833,2057.9,27.14,95.2,"Yes","MultiFamilyHousing"
"9962","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",86,63.8,68,2.5,0.6,88.8,3898935.4,42424.2,661035.4,186590.4,288.9,227.6,61.3,75833,1835,24.2,85,"Yes","MultiFamilyHousing"
"9963","Queens",65000,"Multifamily Housing","Multifamily Housing",75833,1939,1,100,"Other",80,66.4,70.6,2.7,0.6,93.4,4025358.4,43694,736621.8,206592.6,302.6,234.3,68.4,75833,2191,28.89,89.9,"Yes","MultiFamilyHousing"
"9965","Queens",50996,"Multifamily Housing","Multifamily Housing",50996,1939,1,100,"WholeBuilding",76,72.9,77.1,3,0.6,102,2853798.9,30798,532895.4,152278.3,225.6,176.2,49.5,50996,1840.2,36.09,98.1,"Yes","MultiFamilyHousing"
"9966","Queens",50996,"Multifamily Housing","Multifamily Housing",53496,1939,1,100,"WholeBuilding",97,53,56.2,2.6,0.5,77.8,2344922.6,25260.7,492440.5,141019.5,170.2,124.6,45.7,53496,1639,30.64,74.9,"Yes","MultiFamilyHousing"
"9967","Queens",120000,"Multifamily Housing","Multifamily Housing",68000,1942,1,100,"WholeBuilding",20,129,NA,5.9,1.2,NA,7343791,82561.3,1426068.7,403667.6,522.4,390.1,132.3,68000,5740.6,84.42,179.2,"Yes","MultiFamilyHousing"
"9968","Queens",57888,"Multifamily Housing","Multifamily Housing",57888,1951,1,100,"Other",36,96.8,101.4,5,0.8,142.1,4310879,46041.3,1017151.4,290308.2,343.8,249.5,94.4,57888,NA,NA,138.2,"Yes","MultiFamilyHousing"
"9969","Queens",97260,"Multifamily Housing","Multifamily Housing",100177,1937,1,100,"WholeBuilding",58,83.4,89.1,4.1,0.7,122.6,6749199.8,73971.4,1466282.1,408674,504.8,368.7,136.1,100177,NA,NA,118.1,"Yes","MultiFamilyHousing"
"9970","Queens",93936,"Multifamily Housing","Multifamily Housing",109592,1937,1,100,"Other",100,65.4,70.2,3.1,0.6,95.5,5917999.9,65488.9,1250569.6,335038.9,430.4,314.3,116.1,109592,4047.6,36.93,92.5,"Yes","MultiFamilyHousing"
"9971","Queens",66083,"Multifamily Housing","Multifamily Housing",69387,1937,1,100,"WholeBuilding",47,85.8,93,3,0.8,119,4934699.9,54592.1,744430.2,209932.4,351.7,282.6,69.1,69387,2760.3,39.78,112.4,"Yes","MultiFamilyHousing"
"9972","Queens",214300,"Multifamily Housing","Multifamily Housing",170708,1964,1,100,"WholeBuilding",6,110,116.1,5.4,1,160.2,15476299.8,166853.9,3296073.3,916809.9,1127.9,822,305.9,170708,14491.3,84.89,155.8,"Yes","MultiFamilyHousing"
"9973","Queens",61956,"Multifamily Housing","Multifamily Housing",61956,1936,1,100,"Other",94,72.1,77.4,3.1,0.7,103.7,3788932.9,41332.1,678913.8,194624.1,264.3,201.2,63,61956,NA,NA,98.6,"Yes","MultiFamilyHousing"
"9974","Queens",83272,"Multifamily Housing","Multifamily Housing",91599,1956,1,100,"WholeBuilding",89,59,62.5,2.8,0.5,85.4,4467400.1,48536.8,941394.7,254600.5,324.6,237.3,87.4,91599,5469.9,59.72,83.5,"Yes","MultiFamilyHousing"
"9975","Queens",53502,"Multifamily Housing","Multifamily Housing",53500,1929,1,100,"Other",3,6.8,6.6,0.9,0,13.3,187500,1875,174520.4,48089.3,26.2,10,16.2,53500,5849.8,109.34,13.9,"Yes","MultiFamilyHousing"
"9976","Queens",58020,"Multifamily Housing","Multifamily Housing",59760,1937,1,100,"WholeBuilding",65,86.7,92.5,3.4,0.8,121.1,4472500.1,48434.6,708492.3,200634.7,303.3,237.6,65.7,59760,2887.3,48.31,115.8,"No","MultiFamilyHousing"
"9977","Queens",108732,"Multifamily Housing","Multifamily Housing",114168,1936,1,100,"WholeBuilding",3,20.7,20.4,3.4,0.1,45.7,999700,9997,1365622.2,388599.9,179.8,53.1,126.7,114168,4862.3,42.59,46.8,"Yes","MultiFamilyHousing"
"9978","Queens",55000,"Multifamily Housing","Multifamily Housing",55000,1958,1,100,"WholeBuilding",45,87.7,86.9,4.2,0.4,119.8,2408900.1,24089,826345.4,229158.7,322.4,245.7,76.7,55000,NA,NA,122.3,"No","MultiFamilyHousing"
"9979","Queens",123600,"Multifamily Housing","Multifamily Housing",123600,1937,1,100,"Other",51,86.9,NA,3.7,0.8,NA,8662342.1,94808.1,1611837.2,459168.9,644.5,494.9,149.6,123600,1097.6,8.88,118.4,"Yes","MultiFamilyHousing"
"9980","Queens",147000,"Multifamily Housing","Multifamily Housing",147000,1954,1,100,"WholeBuilding",34,110.4,118.5,5.2,1,161.4,13488701.7,148167.6,2740119.3,762543.9,970.7,716.4,254.3,147000,11877.6,80.8,154.9,"No","MultiFamilyHousing"
"9981","Queens",172362,"Multifamily Housing","Multifamily Housing",172362,1950,1,100,"Other",99,28.9,28.9,7.5,0,83.7,149200,1492,4409817.3,1292443.4,447.9,38.6,409.2,172362,7751.3,44.97,83.7,"No","MultiFamilyHousing"
"9982","Queens",95000,"Multifamily Housing","Multifamily Housing",94990,1950,1,100,"WholeBuilding",96,72.7,78.1,0.4,0.8,85.2,6758999.8,72766.3,145177.2,42549,372.5,359,13.5,94990,9529.3,100.32,79.5,"Yes","MultiFamilyHousing"
"9983","Queens",60000,"Multifamily Housing","Multifamily Housing",60000,1954,1,100,"WholeBuilding",52,83.7,83,3.6,0.7,112.8,4244800.3,42448,778707,215557.2,297.7,225.5,72.3,60000,3334.8,55.58,115,"No","MultiFamilyHousing"
"9984","Queens",108000,"Multifamily Housing","Multifamily Housing",108000,1940,1,100,"WholeBuilding",80,93.1,99.7,3.6,0,127.2,196781.2,1967.8,1400874.6,393071.5,777.4,647.4,130,108000,3829.3,35.46,121.8,"Yes","MultiFamilyHousing"
"9985","Queens",60000,"Multifamily Housing","Multifamily Housing",62500,1939,1,100,"Other",80,67.5,71.4,3.3,0.6,98.4,3479023.6,37641.9,736915.8,205203,253.2,184.8,68.4,62500,3449.1,55.19,95.5,"No","MultiFamilyHousing"
"9986","Queens",77688,"Multifamily Housing","Multifamily Housing",78000,1940,1,100,"Other",89,74,79.5,3,0.7,104.6,4942725,54182.9,828064.8,230471,339.4,262.5,76.8,78000,3310.1,42.44,99.9,"Yes","MultiFamilyHousing"
"9987","Queens",101856,"Multifamily Housing","Multifamily Housing",106949,1937,1,100,"WholeBuilding",25,103.4,111,3.3,0.9,139.9,9304971,101541.9,1234071,352128.7,647.4,532.9,114.5,106949,3896.6,36.43,132.5,"No","MultiFamilyHousing"
"9988","Queens",112295,"Multifamily Housing","Multifamily Housing",116787,1938,1,100,"WholeBuilding",76,76.3,85.2,3.1,0.6,111.2,6773366.5,74013.4,1240452,363555.6,541.8,426.6,115.1,116787,3753.7,32.14,102,"No","MultiFamilyHousing"
"9989","Queens",65628,"Multifamily Housing","Multifamily Housing",72191,1937,1,100,"Other",88,65.2,69.5,2.9,0.6,93.5,3978993.6,43078.2,729211.6,207932.7,279,211.3,67.7,72191,2885.5,39.97,89.6,"Yes","MultiFamilyHousing"
"9990","Queens",64010,"Multifamily Housing","Multifamily Housing",54729,1937,1,100,"Other",27,117.4,126.7,3.8,1.1,160,5684200.4,62240.7,741587.9,207493.8,370.7,301.9,68.8,54729,NA,NA,151.6,"Yes","MultiFamilyHousing"
"9991","Queens",103200,"Multifamily Housing","Multifamily Housing",103200,1938,1,100,"WholeBuilding",43,89.2,95.1,3.8,0.8,126.6,7528400.6,81720.2,1364281.2,388280.1,550,423.4,126.6,103200,4465.1,43.27,121.2,"No","MultiFamilyHousing"
"9992","Queens",95000,"Multifamily Housing","Multifamily Housing",94990,1950,1,100,"WholeBuilding",77,72.3,72,3.4,0.6,99.5,5746299.9,57463,1125895.2,319024.9,409.7,305.2,104.5,94990,7287.1,76.71,100.7,"Yes","MultiFamilyHousing"
